ID,ふりがな,氏名,所属・役職,主な対応分野,顔写真,PDF
154,なかやま　けんた,中山　健太,"熊本県宇城市市民部市民課　課長補佐
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,RPA導入",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7134.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/134_2025_ad.pdf
155,なみひら　みつお,波平　三雄,"沖縄県情報産業協会地域情報化委員会副委員長
株式会社HFシステム沖縄支店　執行役員支店長","計画策定支援,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7135.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/135_2025_ad.pdf
156,にいや　せい,新谷　聖,"高知県議会事務局議事課　企画広報班長
","人材（ＤＸに関する知識習得・研修・育成）,自治体セキュリティ,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7240.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/240_2025_ad.pdf
157,にしむら　のりかず,西村　宜三,"一般財団法人GovTech東京　マネージャー
","自治体システムの標準化・共通化,５Ｇ,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7241.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/241_2025_ad.pdf
158,のだ　てつお,野田　哲夫,"島根大学名誉教授
","シェアリングエコノミー,オープンデータ,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7136.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/136_2025_ad.pdf
159,はせがわ　ようこ,長谷川　陽子,"長谷川陽子オフィス
情報教育アナリスト","働き方,ICT活用広報,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7137.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/137_2025_ad.pdf
160,はたい　かつひこ,畑井　克彦,"阪神・智頭NPOセンター　代表理事
集団力学研究所　主任研究員","プロジェクトマネジメント支援,教育情報化／情報教育,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7138.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/138_2025_ad.pdf
161,はなたに　まさひろ,花谷　昌弘,"一般社団法人 IT団体連携　情報銀行推進委員会　委員
株式会社NTTデータ　金融イノベーション本部ビジネスデザイン室","個人情報保護,スマートシティ,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7139.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/139_2025_ad.pdf
162,はまだ　しんすけ,濱田　真輔,"大阪経済大学　教育・学習支援センター　教授
キッズデザイン協議会　フェロー","防災,教育情報化／情報教育,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7140.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/140_2025_ad.pdf
163,はやせ　きみお,早瀬　公夫,"掛川タクシー株式会社　代表取締役
静岡県タクシー協会　副理事長","観光,人材（ＤＸ推進のための機運の醸成）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7141.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/141_2025_ad.pdf
164,はら　ひでき,原　秀樹,"CocreCoコンサルティング合同会社　代表（元姫路市職員）
一般社団法人官民共創未来コンソーシアム　エバンジェリスト","計画策定支援,EBPM（エビデンスに基づく政策立案）,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7142.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/142_2025_ad.pdf
165,はら　りょう,原　亮,"エイチタス株式会社 代表取締役
一般社団法人DigiBizみやぎ 代表理事","スタートアップ支援（起業支援）,オープンデータ,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7143.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/143_2025_ad.pdf
166,はらだ　さとし,原田　智,"京都産業大学　シニアディレクター
","自治体システムの標準化・共通化,プロジェクトマネジメント支援,自治体セキュリティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7144.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/144_2025_ad.pdf
167,はらだ　たかし,原田　隆史,"八洲学園大学生涯学習学部 教授
岐阜女子大学特任教授","デジタルアーカイブ／図書館,人材（ＤＸに関する知識習得・研修・育成）,教育情報化／情報教育",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7242.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/242_2025_ad.pdf
168,ひらい　そういちろう,平井　聡一郎,"合同会社未来教育デザイン　代表社員
株式会社情報通信総合研究所　特別研究員","教育情報化／情報教育,人材（ＤＸ推進のための機運の醸成）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7145.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/145_2025_ad.pdf
169,ひらこ　こうへい,平子　紘平,"金城大学 総合経済学部 准教授
","オープンデータ,人材（外部人材活用）,テレワーク",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7243.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/243_2025_ad.pdf
170,ひらもと　けんじ,平本　健二,"独立行政法人情報処理推進機構　参与
デジタル基盤センター長","オープンデータ,計画策定支援,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7146.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/146_2025_ad.pdf
171,ひろおか　じゅんじ,広岡　淳二,"(一社)九州テレコム振興センター（KIAI）専務理事
","人材（ＤＸに関する知識習得・研修・育成）,EBPM（エビデンスに基づく政策立案）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7244.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/244_2025_ad.pdf
172,ひろかわ　さとみ,廣川　聡美,"関東学院大学法学部　客員教授
元横須賀市副市長","計画策定支援,人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7147.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/147_2025_ad.pdf
173,ふくしま　けんいちろう,福島　健一郎,"一般社団法人コード・フォー・カナザワ 代表理事
アイパブリッシング株式会社 代表取締役","オープンデータ,スマートシティ,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7148.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/148_2025_ad.pdf
174,ふくだ　こういち,福田　浩一,"株式会社日本農業サポート研究所　代表取締役
","農林水産業,生成AI活用,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7149.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/149_2025_ad.pdf
175,ふくの　たいすけ,福野　泰介,"株式会社jig.jp 取締役 創業者
神山まるごと高専 技術教育統括ディレクター","オープンデータ,教育情報化／情報教育,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7150.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/150_2025_ad.pdf
176,ふくもと　まさひろ,福本　昌弘,"高知工科大学情報学群　教授
","自治体システム調達
地域情報プラットフォーム,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,農林水産業",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7151.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/151_2025_ad.pdf
177,ふじい　さとし,藤井　智史,"琉球大学　名誉教授
ORNIS株式会社 CTO","農林水産業,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7152.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/152_2025_ad.pdf
178,ふじい　やすし,藤井　靖史,"西会津町 CDO
一般社団法人ばんだい新興公社 理事長","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7153.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/153_2025_ad.pdf
179,ふじむら　ゆういち,藤村　裕一,"鳴門教育大学教員養成ＤＸ推進機構長・大学院学校教育研究科特命教授
文部科学省中央教育審議会デジタル学習基盤特別委員会委員","教育情報化／情報教育,生成AI活用,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7154.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/154_2025_ad.pdf
180,ぶじょう　ふみあき,武城　文明,"株式会社行政IT研究所　所長
","自治体システム調達
地域情報プラットフォーム,計画策定支援,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7155.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/155_2025_ad.pdf
181,ふるかわ　やすと,古川　泰人,"株式会社MIERUNE
Code for Japan","オープンデータ,EBPM（エビデンスに基づく政策立案）,その他",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7156.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/156_2025_ad.pdf
182,ふるや　ひろし,古屋　弘,"株式会社大林組技術研究所　上級主席技師
buildingSMART JAPAN　理事","５Ｇ,防災,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7157.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/157_2025_ad.pdf
183,ふわ　やすし,不破　泰,"信州大学　情報・DX推進機構DX推進センター特任教授
","スマートシティ,防災,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7158.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/158_2025_ad.pdf
184,べっしょ　まさひろ,別所　正博,"東洋大学 情報連携学部 教授（学科長／大学院専攻長）
公共交通オープンデータ協議会 事務局長","オープンデータ,人材（ＤＸに関する知識習得・研修・育成）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7245.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/245_2025_ad.pdf
185,ほしかわ　つよし,干川　剛史,"大妻女子大学人間関係学部　教授
公益信託多摩まちづくりファンド運営員会　委員長","防災,計画策定支援,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7159.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/159_2025_ad.pdf
186,ほしの　こういちろう,星野　晃一郎,"株式会社ダンクソフト　代表取締役 C.E.O.
中央エフエム株式会社　取締役","地域ビジネス,テレワーク,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7160.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/160_2025_ad.pdf
187,ほそかわ　てっせい,細川　哲星,"株式会社ニューソンアンドカンパニー
株式会社イマーシブ・ラボ","観光,シェアリングエコノミー,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7161.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/161_2025_ad.pdf
188,ほんだ　やすゆき,本多　康幸,"NTTアドバンステクノロジ株式会社　北海道支店長
元　株式会社HARP　常務取締役","RPA導入,計画策定支援,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7162.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/162_2025_ad.pdf
189,まいた　つよし,米田　剛,"一般社団法人ソーシャルシフトアシスト　代表理事
デジタル庁　オープンデータ伝道師","観光,地域ビジネス,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7163.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/163_2025_ad.pdf
190,まえだ　そういちろう,前田　聰一郎,"株式会社Idea　Craft　代表取締役
0","人材（ＤＸに関する知識習得・研修・育成）,プロジェクトマネジメント支援,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7164.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/164_2025_ad.pdf
191,まえだ　みゆき,前田　みゆき,"デジタル庁　プロジェクトマネージャー
大阪府　特別参与","自治体システムの標準化・共通化,人材（ＤＸ推進のための機運の醸成）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7165.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/165_2025_ad.pdf
192,ますや　まさと,升屋　正人,"東京農工大学　総合情報メディアセンター　教授
","ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,防災,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7166.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/166_2025_ad.pdf
193,まつい　ひろこ,松井　洋子,"飛騨市役所総務部総務課　課長補佐
","人材（ＤＸ推進のための機運の醸成）,行政手続オンライン化,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7167.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/167_2025_ad.pdf
194,まつうら　たつき,松浦　龍基,"キートンコンサルティング株式会社
代表取締役社長","教育情報化／情報教育,自治体システムの標準化・共通化,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7168.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/168_2025_ad.pdf
195,まつざき　たいすけ,松崎　太亮,"神戸国際大学　副学長・経済学部教授
デジタル庁　オープンデータ伝道師","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7170.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/170_2025_ad.pdf
196,まつざわ　よしろう,松澤　佳郎,"株式会社テレコンサービス　代表取締役
慶應義塾大学SFC研究所　上席研究員","教育情報化／情報教育,テレワーク,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7171.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/171_2025_ad.pdf
197,まつしま　りゅういち,松島　隆一,"東京大学空間情報科学研究センター 特任研究員
元千葉市 情報経営部長、危機管理監、保健福祉局次長","EBPM（エビデンスに基づく政策立案）,防災,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7172.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/172_2025_ad.pdf
198,まつだ　しゅんじ,松田　俊司,"金沢市情報統括責任者（ＣＩＯ）
金沢未来のまち創造館　館長","人材（ＤＸに関する知識習得・研修・育成）,デジタルアーカイブ／図書館,ICT活用広報",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7173.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/173_2025_ad.pdf
199,まつだ　たかし,松田　孝,"合同会社MAZDA Incredible Lab CEO
教育テック大学院大学　教授","教育情報化／情報教育,スタートアップ支援（起業支援）,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7174.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/174_2025_ad.pdf
200,まるた　ゆきと,丸田　之人,"デジタル庁 デジタル社会共通機能グループ(オープンデータ・GIF担当) データプロダクトマネージャー
mclab.　代表","オープンデータ,EBPM（エビデンスに基づく政策立案）,観光",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7175.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/175_2025_ad.pdf
201,みき　こうへい,三木　浩平,"総務省大臣官房デジタル統括アドバイザー
元千葉市総務局次長","自治体システムの標準化・共通化,マイナンバー,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7176.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/176_2025_ad.pdf
202,みずまち　まさこ,水町　雅子,"宮内・水町IT法律事務所 弁護士
","マイナンバー,個人情報保護,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7177.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/177_2025_ad.pdf
203,みたに　やすひろ,三谷　泰浩,"九州大学大学院　工学研究院　附属アジア防災研究センター　教授
","防災,計画策定支援,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7178.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/178_2025_ad.pdf
204,みのぐち　めぐみ,蓑口　恵美,"デジタル庁　シェアリングエコノミー伝道師
シードVCミレイズ　Head　of　Communication","働き方,子育て,シェアリングエコノミー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7180.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/180_2025_ad.pdf
205,みやざき　まさみ,宮﨑　昌美,"株式会社アイネス　シニアアドバイザー
元　狭山市　総合政策部次長","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7181.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/181_2025_ad.pdf
206,みわ　しゅうへい,三輪　修平,"つくば市政策イノベーション部情報システム課　課長補佐
","RPA導入,生成AI活用,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7182.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/182_2025_ad.pdf
207,むらかみ　ふみひろ,村上　文洋,"DXアドバイザー（フリーランス）
津田塾大学総合政策学部非常勤講師（スマートコミュニティ論）","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7183.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/183_2025_ad.pdf
208,むらこし　こうじ,村越　功司,"浜松市役所
デジタル庁","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7184.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/184_2025_ad.pdf
209,もうり　やすし,毛利　靖,"茨城大学教育学部　教授
全国ICT教育首長協議会　特別顧問","教育情報化／情報教育,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7185.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/185_2025_ad.pdf
210,もちづき　まさき,望月　昌樹,"元福岡県情報企画監
MM研究所　代表","自治体システム調達
地域情報プラットフォーム,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7186.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/186_2025_ad.pdf
211,もとやま　まさし,本山　政志,"元川口市企画財政部次長兼情報政策課長
埼玉県町村会　情報システム共同化推進室長","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7187.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/187_2025_ad.pdf
212,もり　やすみち,森　康通,"生駒市 総務部 総務課 課長
","オープンデータ,人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7188.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/188_2025_ad.pdf
213,もりかわ　ひろゆき,森川　博之,"東京大学大学院工学系研究科　教授
情報通信ネットワーク産業協会会長","人材（ＤＸ推進のための機運の醸成）,５Ｇ,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7189.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/189_2025_ad.pdf
214,もりと　ゆういち,森戸　裕一,"一般社団法人日本デジタルトランスフォーメーション推進協会 代表理事
ナレッジネットワーク株式会社 代表取締役社長","AI活用,人材（ＤＸに関する知識習得・研修・育成）,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7190.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/190_2025_ad.pdf
215,もりもと　としお,森本　登志男,"旭川市　最高デジタル責任者（CDO）
キャリアシフト株式会社　代表取締役","計画策定支援,人材（外部人材活用）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7191.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/191_2025_ad.pdf
216,もりもと　ひろし,森本　浩之,"2025年日本国際博覧会協会会場運営プロデューサー補佐（ICT担当）
","人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化,自治体セキュリティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7192.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/192_2025_ad.pdf
217,やぎぬま　そうすけ,柳沼　草介,"株式会社日本能率協会コンサルティング 　SX&P事業本部
アグリ・フーズ事業連携推進センター","農林水産業,人材（ＤＸに関する知識習得・研修・育成）,シェアリングエコノミー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7193.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/193_2025_ad.pdf
218,やすえ　あきら,安江　輝,"長野県伊那市商工振興課　課長補佐
","スマートシティ,医療・介護・健康,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7194.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/194_2025_ad.pdf
219,やなぎだ　こういち,栁田　公市,"特定非営利活動法人ナレッジネットワーク理事長
総務省地域力創造アドバイザー","地域ビジネス,スタートアップ支援（起業支援）,医療・介護・健康",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7195.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/195_2025_ad.pdf
220,やまぐち　ともあき,山口　倫照,"Smart Region Consulting 代表
","行政手続オンライン化,プロジェクトマネジメント支援,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7196.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/196_2025_ad.pdf
221,やまざき　ひろき,山崎　博樹,"IRI 知的資源イニシアティブ代表理事
","デジタルアーカイブ／図書館,教育情報化／情報教育,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7197.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/197_2025_ad.pdf
222,やまざわ　ひろゆき,山澤　浩幸,"新潟ＤＸオフィス　代表
","自治体システム調達
地域情報プラットフォーム,マイナンバー,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7198.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/198_2025_ad.pdf
223,やまだ　まさひこ,山田　雅彦,"一般財団法人　世界遺産白川郷合掌造り保存財団　事務局長
","観光,ICT活用広報,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7199.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/199_2025_ad.pdf
224,やまなか　まもる,山中　守,"国立大学法人熊本大学、熊本大学名誉教授
認定NPO法人阿蘇花野協会、理事長","デジタルデバイド対策,教育情報化／情報教育,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7200.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/200_2025_ad.pdf
225,やまにし　じゅんいち,山西　潤一,"一般社団法人　日本教育情報化振興会　会長
富山大学　名誉教授","教育情報化／情報教育,デジタルデバイド対策,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7201.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/201_2025_ad.pdf
226,やまもと　たかし,山本　孝,"富士通Japan株式会社
自治体（地域活性化起業人）派遣先DX推進専門員","プロジェクトマネジメント支援,人材（ＤＸ推進のための機運の醸成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7246.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/246_2025_ad.pdf
227,ゆひ　よしお,由比　良雄,"富士通Japan株式会社　アシスタントマネージャー
","人材（ＤＸ推進のための機運の醸成）,計画策定支援,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7202.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/202_2025_ad.pdf
228,よこやま　まさと,横山　正人,"株式会社九州地域情報化研究所　代表取締役
長崎総合科学大学　名誉教授","計画策定支援,人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7203.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/203_2025_ad.pdf
229,よしざき　まさひろ,吉崎　正弘,"一般社団法人日本ケーブルテレビ連盟 名誉顧問
","ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,人材（ＤＸ推進のための機運の醸成）,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7204.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/204_2025_ad.pdf
230,よしだ　けんたろう,吉田　健太郎,"株式会社電通　未来事業創研ファウンダー
消費者庁 新未来ビジョンフォーラムフェロー","スタートアップ支援（起業支援）,プロジェクトマネジメント支援,５Ｇ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7205.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/205_2025_ad.pdf
